,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
14,Sn2S,orthorhombic (P),0.26359046,8.17094716313655,6.956190109721288,7.693140552266278,90.0,90.0,90.0,437.26781436297716,Pnma,55,58,0.8330535888671875,0.05668538436293602,0.05637497827410698,hexagonal (P),0.20913415,4.1534972288948975,4.1534972288948975,4.7587971788288215,90.0,90.0,120.0,71.09772057047161,191,164,169,0.4649457037448883,0.42190054059028625,0.023759696632623672
15,Cu2S2,cubic (F),0.32089275,5.58488108651142,5.58488108651142,5.58488108651142,90.0,90.0,90.0,174.19744933304702,F-43m,225,227,0.83494633436203,0.15977320075035095,0.003154961857944727,orthorhombic (P),0.17177084,6.613441613577169,5.7653268771463235,6.247215519080255,90.0,90.0,90.0,238.1979107765675,62,31,19,0.39685487747192383,0.23179669678211212,0.11406891793012619
16,TaS4,monoclinic (P),0.26196247,14.135035941017414,4.729167532563132,15.5093094473639,90.0,110.9072493423696,90.0,968.489761085282,P2_1/m,14,4,0.8477551341056824,0.05850381776690483,0.023879675194621086,monoclinic (C),0.15236518,12.447030105080266,5.976452479461718,9.798078105996334,90.0,102.67401683577788,90.0,711.1105104162817,12,15,8,0.6405451893806458,0.11548128724098206,0.10756376385688782
17,Pb2As2,cubic (F),0.4197978,5.951495411619754,5.951495411619754,5.951495411619754,90.0,90.0,90.0,210.80373885011716,Fm-3m,216,227,0.9872587323188782,0.011420085094869137,0.0007236148230731487,cubic (I),0.12594293,3.621609218869529,3.621609218869529,3.621609218869529,90.0,90.0,90.0,47.501219670325895,229,197,211,0.9562504887580872,0.024726297706365585,0.005655806511640549
18,As2S3,monoclinic (P),0.3898174,10.210577897057446,10.786601458747462,6.075057193660114,90.0,94.8867158648023,90.0,666.6591159891251,P2_1/c,4,11,0.7992218136787415,0.08974655717611313,0.04799004644155502,orthorhombic (P),0.2261755,10.238481032126689,7.232597731746118,7.551760744164327,90.0,90.0,90.0,559.214035445441,62,19,61,0.37270835041999817,0.17457227408885956,0.16284696757793427
19,LaTe4,orthorhombic (C),0.966675,4.322690483475536,30.92899740499843,4.428816012211578,90.0,90.0,90.0,592.11712356197,Cmcm,36,65,0.9974978566169739,0.001551158376969397,0.0003545040381141007,monoclinic (P),0.010609509,6.991368605221416,7.74417348645323,10.509638525720783,90.0,90.1072660889583,90.0,569.0157550159631,14,11,4,0.8777824640274048,0.08252059668302536,0.012287943623960018
20,NaPb2,cubic (F),0.37414324,7.529437106297083,7.529437106297083,7.529437106297083,90.0,90.0,90.0,426.8620344187686,Fd-3m,225,216,0.7955605983734131,0.14235234260559082,0.05840972438454628,cubic (P),0.21488945,5.153876687766727,5.153876687766727,5.153876687766727,90.0,90.0,90.0,136.89956560567987,221,205,224,0.981708288192749,0.005901475436985493,0.00342313083820045
21,SnAs,rhombohedral (P),0.58396846,8.348794157581096,8.348794157581096,8.348794157581096,29.749514558658774,29.749514558658774,29.749514558658774,126.87235280279937,R-3m,160,148,0.8912246227264404,0.08952257037162781,0.011798517778515816,tetragonal (P),0.06775471,4.124992192452588,4.124992192452588,6.377826905405138,90.0,90.0,90.0,108.522300127389,111,129,137,0.8410792350769043,0.1143215000629425,0.009658575057983398
22,As2C,hexagonal (P),0.14084259,5.130475349525653,5.130475349525653,6.149240722483222,90.0,90.0,120.0,140.1739581440118,P-3m1,194,174,0.30092960596084595,0.14417779445648193,0.0891096368432045,monoclinic (C),0.13425358,9.680165645820878,4.444312902059296,8.269438013394993,90.0,107.20322939203947,90.0,339.8488272559414,15,12,9,0.6070680022239685,0.23945660889148712,0.10569461435079575
23,Ge2S,orthorhombic (P),0.18875219,10.432070221626294,5.6204829657560635,7.793246135227289,90.0,90.0,90.0,456.9435280332526,Pnma,60,61,0.220180943608284,0.11555393785238266,0.10640348494052887,cubic (F),0.14816293,6.4001250590699,6.4001250590699,6.4001250590699,90.0,90.0,90.0,262.1593675587949,219,228,202,0.6281101107597351,0.2141808271408081,0.1494886726140976
