,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
13,AsS2,monoclinic (P),0.4085319,9.827167792180232,12.057833659251065,7.611862825440513,90.0,100.28536205878629,90.0,887.468849875815,P2_1/c,4,11,0.7844017744064331,0.09172455221414566,0.04642642289400101,orthorhombic (P),0.17713518,10.571773205817484,9.972848216679933,8.03982726991288,90.0,90.0,90.0,847.6445330325707,62,19,61,0.2266145944595337,0.18502093851566315,0.16362498700618744
14,Ru3O8,tetragonal (P),0.58564293,4.714613090653801,4.714613090653801,3.993250516232836,90.0,90.0,90.0,88.76028171084832,P4_2/mnm,91,102,0.997269332408905,0.000549830961972475,0.0004269571218173951,orthorhombic (P),0.085422456,8.396225744546925,7.723785061158344,3.5224820475691745,90.0,90.0,90.0,228.4352256557307,62,19,58,0.3287802040576935,0.12700790166854858,0.11026190221309662
15,LiSr,hexagonal (P),0.30699506,5.441629501766003,5.441629501766003,12.979308074960342,90.0,90.0,120.0,332.843523510712,P6_3/mmc,164,191,0.9130199551582336,0.04535315930843353,0.018970569595694542,rhombohedral (P),0.21451505,8.217685485883875,8.217685485883875,8.217685485883875,35.051161669787106,35.051161669787106,35.051161669787106,163.4440747231286,167,166,148,0.5058553814888,0.3061131536960602,0.11825992912054062
16,MoS3,hexagonal (P),0.20641525,3.3444172317982135,3.3444172317982135,9.901842162805865,90.0,90.0,120.0,95.91522189913128,P-3m1,194,186,0.801564633846283,0.08426821976900101,0.05323253199458122,monoclinic (P),0.19177315,13.158951183174553,5.925265661518695,10.115626348666485,90.0,91.34786203972689,90.0,788.500003317278,11,14,13,0.30306896567344666,0.2978819012641907,0.15277905762195587
17,BiC,cubic (F),0.28662497,4.91306716341451,4.91306716341451,4.91306716341451,90.0,90.0,90.0,118.59274004814286,Fm-3m,216,227,0.8123874664306641,0.18027763068675995,0.004300720989704132,cubic (I),0.1828207,9.538622969732394,9.538622969732394,9.538622969732394,90.0,90.0,90.0,867.8747410832768,197,206,229,0.6852599382400513,0.10034613311290741,0.09254355728626251
18,AsS3,monoclinic (P),0.39007175,9.664040492072289,12.30488363159711,8.609129789710442,90.0,100.80538637874683,90.0,1005.6022213398637,P2_1/c,4,13,0.7313682436943054,0.10347208380699158,0.07099510729312897,orthorhombic (P),0.16952054,10.029339930415471,10.502983612126824,7.609008479752713,90.0,90.0,90.0,801.5176814414797,62,19,61,0.21724258363246918,0.16237936913967133,0.15497779846191406
19,SbF4,monoclinic (P),0.34961367,8.52038206509019,10.382003095465734,11.705828349864152,90.0,100.14092459645308,90.0,1019.3049386429196,P2_1/c,4,11,0.8837041854858398,0.04045800864696503,0.03588969632983208,orthorhombic (P),0.22623286,8.203832273117394,7.0466346863215215,6.995226055370936,90.0,90.0,90.0,404.389884477716,62,61,19,0.4076823890209198,0.1302955448627472,0.11603693664073944
20,Sn3Se,tetragonal (I),0.29153615,6.313337527998439,6.313337527998439,4.113049209099787,90.0,90.0,90.0,163.93886443128272,I4_1/amd,140,107,0.8720837831497192,0.1003643348813057,0.007987466640770435,hexagonal (P),0.21796107,3.4797455781733375,3.4797455781733375,3.6909682369857104,90.0,90.0,120.0,38.70489760157982,191,164,187,0.9043258428573608,0.04802711308002472,0.02236599661409855
21,S6C4,monoclinic (P),0.44779134,9.651183275190842,8.207900861892284,11.483974534671061,90.0,103.32974114080857,90.0,885.2057083758659,P2_1/c,4,11,0.7956729531288147,0.08230970799922943,0.04461860656738281,orthorhombic (P),0.23289533,8.846590951717825,6.264000892423161,9.031336850929979,90.0,90.0,90.0,500.47201582262403,62,61,60,0.46466735005378723,0.24741385877132416,0.07979477941989899
22,ClS,monoclinic (P),0.38419282,10.134433955527257,11.94453784675452,9.324320337053223,90.0,108.27497472982562,90.0,1071.7897568326289,P2_1/c,13,4,0.8394657373428345,0.07754816114902496,0.037699613720178604,orthorhombic (P),0.27568835,9.19321533652428,9.681366622502189,10.659253041758955,90.0,90.0,90.0,948.7043058385125,62,61,19,0.36607369780540466,0.1626945286989212,0.15434785187244415
