22,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-3844,4,LiCuCO3,P-1,2096,FALSE,top-down,81,54,mp-760512
2dm-3855,4,ZnTeMoO6,P2,3046,TRUE,top-down,145,236,mp-567019
2dm-3867,4,LiV(OF)2,P2_1/m,2970,FALSE,top-down,89,57,mp-766149
2dm-3870,4,BaTl(CoO3)2,P4mm,0,FALSE,top-down,580,,mvc-353
2dm-3875,4,Rb2Sn(H2N)6,P-3,2564,TRUE,top-down,17,36,mp-643359
2dm-3878,4,KH2I3O,Pc,1943,FALSE,top-down,38,75,mp-696649
2dm-3882,4,NiC2(SN)2,C2/m,285,FALSE,top-down,240,50,mp-8129
2dm-3884,4,SnPHO4,Pc,3645,TRUE,top-down,47,90,mp-690702
2dm-3886,4,BiTeIO3,P2_1/c,2401,FALSE,top-down,12,50,mp-559332
2dm-3892,4,Sr2MnClO3,P4/nmm,0,FALSE,top-down,1,33,mp-561903
2dm-3903,4,BaCuReO5,P4mm,0,FALSE,top-down,421,,mvc-7248
2dm-3904,4,LiCuCO3,Pmma,2455,FALSE,top-down,55,,mp-753425
2dm-3907,4,ZrH3NF4,P-1,5040,FALSE,top-down,0,45,mp-24508
2dm-3908,4,NaH4IO2,P-1,3892,FALSE,top-down,44,57,mp-696512
2dm-3911,4,BaCuSbO5,P4mm,0,FALSE,top-down,344,,mvc-7253
2dm-3925,4,AgHgSBr,Pmma,1235,FALSE,top-down,27,117,mp-560067
2dm-3933,4,NaAu(SO4)2,P-1,1836,FALSE,top-down,49,171,mp-561190
2dm-3936,4,CdP2H6O7,P-1,4481,FALSE,top-down,70,93,mp-24407
2dm-3938,4,BaCuWO5,P4mm,0,FALSE,top-down,446,,mvc-7747
2dm-3949,4,Nb2VZn2O8,P2/c,931,FALSE,top-down,103,122,mvc-423
2dm-3953,4,Nb2Te4Cl10O,P-1,1257,TRUE,top-down,15,,mp-555641
2dm-3955,4,CdBiS2Cl,Pmc2_1,1181,TRUE,top-down,143,254,mp-558849
2dm-3956,4,InSb2Se4Br,P2_1/m,1177,FALSE,top-down,15,,mp-570321
2dm-3959,4,AuCClO,Pmmn,2504,FALSE,top-down,162,31,mp-561703
2dm-3961,4,Y7C3I6O,Pmma,0,FALSE,top-down,0,31,mp-554027
2dm-3962,4,CrCu(PS3)2,P2_1,1012,FALSE,top-down,0,,mp-572465
2dm-3964,4,BaTl(SnO3)2,Pmmn,0,FALSE,top-down,476,8,mvc-10741
2dm-3972,4,NbTlBr4O,Pmm2,1207,FALSE,top-down,0,83,mp-551826
2dm-3973,4,InSb2S4Cl,P2_1/m,1462,FALSE,top-down,18,,mp-556541
2dm-3975,4,FeWClO4,P4/nmm,2481,TRUE,top-down,84,112,mp-565201
2dm-3984,4,HgINO3,Pmc2_1,2406,TRUE,top-down,0,53,mp-557250
2dm-3990,4,TiV2CrO10,P-4m2,1458,TRUE,top-down,101,77,mp-773510
2dm-4010,4,KCrClO3,P2_1/c,2773,FALSE,top-down,97,47,mp-25497
2dm-4012,4,CdHClO,P3m1,2571,TRUE,top-down,57,130,mp-644222
2dm-4016,4,Sr2CrCu2O7,Pmc2_1,0,FALSE,top-down,217,26,mvc-845
2dm-4030,4,CaP(H2O3)2,P-1,138,FALSE,top-down,106,60,mp-632758
2dm-4033,4,Sr3Co2S2O5,P4/mmm,0,FALSE,top-down,463,56,mvc-3221
2dm-4035,4,Zn2SeCl2O3,P2_1/c,4102,TRUE,top-down,6,42,mp-561112
2dm-4042,4,Sb2P3(HO3)3,P-1,3750,FALSE,top-down,93,91,mp-696655
2dm-4044,4,CuHgSBr,Pmc2_1,549,FALSE,top-down,71,99,mp-554879
2dm-4051,4,Mg3P2(HO)16,P2/m,3755,FALSE,top-down,51,60,mp-24638
2dm-4053,4,Nb2TlPS10,Pc,1349,FALSE,top-down,9,91,mp-560847
2dm-4054,4,BiPPbO5,P-1,3552,FALSE,top-down,86,,mp-556878
2dm-4055,4,HoTe2ClO5,P2/c,2893,TRUE,top-down,0,34,mp-558875
2dm-4060,4,CaP2H6O7,P-1,4949,FALSE,top-down,61,89,mp-24452
2dm-4061,4,Mg3Si4(HO6)2,P-1,5382,TRUE,top-down,0,20,mp-696497
2dm-4074,4,IClOF,P2_1/c,1977,FALSE,top-down,9,,mp-558330
2dm-4077,4,Sr2Cu2NiO7,Pmc2_1,0,FALSE,top-down,146,25,mvc-908
2dm-4078,4,SrCuBiO4,P4/mmm,0,FALSE,top-down,192,,mvc-11183
2dm-4080,4,CuCClO,Pmn2_1,2483,FALSE,top-down,117,37,mp-562090
2dm-4082,4,LiH2NO3,Pc,2744,FALSE,top-down,71,59,mp-722902
2dm-4087,4,InTeO3F,P2_1/c,3507,TRUE,top-down,0,54,mp-510727
2dm-4090,4,Sr2CoSO3,P4/nmm,0,FALSE,top-down,335,51,mvc-3228
2dm-4101,4,K2U3(IO5)4,P-1,1822,FALSE,top-down,49,126,mp-556374
2dm-4104,4,LaPb6BrO7,Pmma,2161,FALSE,top-down,0,55,mp-560665
2dm-4110,4,BaYSn4O7,P3m1,0,FALSE,top-down,213,47,mvc-1155
2dm-4112,4,KH(CN2)3,P-1,57,FALSE,top-down,715,,mp-696886
2dm-4120,4,Li4Co(PO4)2,P-1,3027,FALSE,top-down,116,101,mp-761656
2dm-4125,4,KB(CO2)4,Pmma,2924,TRUE,top-down,82,77,mp-559030
2dm-4130,4,Na2H6PtO6,P-3,3041,TRUE,top-down,23,70,mp-632760
2dm-4133,4,LiAg(CO2)2,P2_1,3059,FALSE,top-down,197,,mp-985571
2dm-4135,4,Ta2TiZn2O8,P-1,607,FALSE,top-down,189,,mvc-2345
2dm-4141,4,BaAlSn4O7,P3m1,0,FALSE,top-down,329,,mvc-1162
2dm-4144,4,Li2P4WO13,P-1,3085,TRUE,top-down,53,,mp-762217
2dm-4145,4,SmH2ClO2,P2_1/m,4464,TRUE,top-down,23,105,mp-757145
2dm-4146,4,LiCoPO4,P-3,2973,FALSE,top-down,69,41,mp-761828
2dm-4147,4,Ba2Tl2CuO6,Pmna,0,FALSE,top-down,448,513,mp-6027
2dm-4150,4,TlRe6Se8Cl3,P-1,1399,FALSE,top-down,3,,mp-23635
2dm-4153,4,ZnCu(SiO3)2,P2/c,147,TRUE,top-down,212,201,mvc-4985
2dm-4159,4,LiFeP2O7,P-1,2529,FALSE,top-down,144,134,mp-762843
2dm-4160,4,Li2V(PO4)2,P-3,0,FALSE,top-down,440,432,mp-763559
2dm-4162,4,BaTl(CoO3)2,Pm,0,FALSE,top-down,582,,mvc-353
2dm-4165,4,Li2Cr3(CO3)6,P-1,0,FALSE,top-down,71,,mp-763398
2dm-4167,4,LiRe(OF2)2,P-42_1m,3097,FALSE,top-down,0,27,mp-554108
2dm-4168,4,CdSbS2Cl,Pmc2_1,1256,TRUE,top-down,111,214,mp-557049
2dm-4170,4,InCu(MoO4)2,P2/c,1161,FALSE,top-down,65,108,mp-618075
