material_id,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-1065,2,MoBr4,P-1,0,FALSE,bottom-up,24,76,2dm-4793
2dm-1066,2,MoI2,R-3m,0,FALSE,bottom-up,211,-12,2dm-4342
2dm-1067,2,SnI4,P4/mmm,0,FALSE,bottom-up,261,191,2dm-4359
2dm-1068,2,Nb2O5,P2_1/m,3080,FALSE,bottom-up,165,,2dm-3664
2dm-1069,2,GeI3,P1,991,FALSE,bottom-up,87,,2dm-5235
2dm-107,2,ThBr4,P2_1/c,2296,TRUE,bottom-up,0,,2dm-3541
2dm-1070,2,CuI,Pmma,227,FALSE,bottom-up,,56,2dm-5106
2dm-1071,2,LaSi3,P6/mmm,0,FALSE,bottom-up,1199,,2dm-5552
2dm-1072,2,Bi2O3,P2_1/m,3042,FALSE,bottom-up,113,,2dm-3771
2dm-1073,2,BSb,P4/nmm,0,FALSE,bottom-up,900,63,2dm-3743
2dm-1074,2,TaF2,P-3m1,0,FALSE,bottom-up,552,50,2dm-5075
2dm-1075,2,CuF,P-6m2,0,FALSE,bottom-up,,,2dm-3766
2dm-1077,2,OsC2,P4/mmm,0,FALSE,bottom-up,2099,1124,2dm-3563
2dm-1078,2,TcTe,P4/nmm,0,FALSE,bottom-up,70,98,2dm-5286
2dm-1079,2,GaI3,Pmc2_1,2226,FALSE,bottom-up,35,,2dm-3521
2dm-108,2,N2O3,Pc,753,FALSE,bottom-up,226,8,2dm-3779
2dm-1080,2,CF2,P-3m1,1743,FALSE,bottom-up,2205,1133,2dm-3464
2dm-1081,2,Tc3Br8,Cm,9,TRUE,bottom-up,136,,2dm-4993
2dm-1082,2,BBr,P4mm,1828,FALSE,bottom-up,,116,2dm-3775
2dm-1083,2,Sb2Pb,Pmc2_1,330,FALSE,bottom-up,176,,2dm-4912
2dm-1084,2,BS,C2/m,1888,TRUE,bottom-up,78,54,2dm-3756
2dm-1085,2,Ba2P,P-3m1,0,FALSE,bottom-up,159,217,2dm-3279
2dm-1086,2,Be2Sb,P6/mmm,0,FALSE,bottom-up,940,424,2dm-3665
2dm-1087,2,Te2Pt,P2_1/c,1430,FALSE,bottom-up,156,193,2dm-5050
2dm-1088,2,RhCl2,P-3m1,0,FALSE,bottom-up,281,83,2dm-4948
2dm-1089,2,La2Pb,P-3m1,0,FALSE,bottom-up,676,,2dm-3189
2dm-109,2,PdF2,P-3m1,647,FALSE,bottom-up,96,81,2dm-3741
2dm-1090,2,CO,P4/nmm,221,FALSE,bottom-up,2910,,2dm-3561
2dm-1091,2,ReI4,P2_1/c,0,FALSE,bottom-up,197,,2dm-5281
2dm-1092,2,PrSi5,Pmmm,0,FALSE,bottom-up,625,549,2dm-5299
